day,user_lat,user_lon,name,address,location_lat,location_lon,distance_km,route_minutes,elevation,elevation_category,weather_score,final_score
2025-12-16,40.37092,-3.69664,Parque de la Vicalvarada,CALLE VILLABLANCA 1,40.40930182229157,-3.608605091516184,8.59,159.9,686.5528564453125,moderado,24,-0.59
2025-12-16,40.37092,-3.69664,Parque de la Volatería,AVENIDA POBLADOS 110,40.37342722778796,-3.732581210214349,3.06,45.3,611.2953491210938,llano,24,16.41
2025-12-16,40.37092,-3.69664,Parque de las Avenidas,AVENIDA BRASILIA 6,40.44185168357492,-3.6610753472863737,8.44,142.0,667.9408569335938,moderado,24,1.36
2025-12-16,40.37092,-3.69664,Parque de las Delicias,CALLE PARROCO EUSEBIO CUENCA 13,40.396280768551875,-3.6893809207693966,2.89,50.1,586.8062744140625,llano,24,16.11
2025-12-16,40.37092,-3.69664,Parque de los Llanos,CALLE DIONISIO INCA YUPANQUI 8,40.461621132349094,-3.6281020785174873,11.64,205.0,661.0421142578125,moderado,24,-8.14
2025-12-16,40.37092,-3.69664,Parque de los Tilos,CALLE NICOLAS SALMERON 1,40.422169759145554,-3.6348548961758254,7.74,136.2,679.2653198242188,moderado,24,2.65
2025-12-16,40.37092,-3.69664,Parque del Bronce,CALLE BRONCE 5,40.390471636161195,-3.6875778883164587,2.31,38.9,582.1259765625,llano,24,17.8
2025-12-16,40.37092,-3.69664,Parque del Espinillo,CALLE UNANIMIDAD 23,40.361196526923834,-3.6853017812008,1.45,24.1,572.0732421875,llano,24,20.14
2025-12-16,40.37092,-3.69664,Parque del Museo del Prado,PASEO PRADO 11,40.41374876020892,-3.6924939830736947,4.78,77.4,633.35888671875,llano,24,11.49
2025-12-16,40.37092,-3.69664,Parque del Oeste,PASEO CAMOENS Y VALERO 4,40.43179642724134,-3.7281634896577027,7.28,118.3,609.2482299804688,llano,24,4.89
2025-12-16,40.37092,-3.69664,Pinar Santa Eugenia,CALLE CERRO DE ALMODOVAR 1,40.386190698831044,-3.605345456872275,7.92,138.1,658.4400024414062,moderado,24,2.28
2025-12-16,40.37092,-3.69664,Plaza de Murillo,PLAZA MURILLO 1,40.41290521872114,-3.692004931820884,4.69,76.6,632.0088500976562,llano,24,11.65
2025-12-16,40.37092,-3.69664,Plaza de la Lealtad,JARDINES PLAZA DE LA LEALTAD ,40.41687551533723,-3.6934169057776667,5.12,83.0,638.4832763671875,llano,24,10.58
2025-12-16,40.37092,-3.69664,Quinta de Torre Arias,CALLE ALCALA 551,40.443385945708435,-3.6182513751654133,10.44,175.1,652.4952392578125,moderado,24,-3.95
2025-12-16,40.37092,-3.69664,Quinta de la Fuente del Berro,CALLE ENRIQUE D'ALMONTE 1,40.42299730556785,-3.6625213630031794,6.47,114.1,647.2755126953125,llano,24,6.12
2025-12-16,40.37092,-3.69664,Rosaleda de Madrid. Parque del Oeste,CALLE ROSALEDA 1,40.42633204176242,-3.722298777408928,6.53,109.3,611.2488403320312,llano,24,6.53
2025-12-16,40.37092,-3.69664,Vivero Estufas de El Retiro,"GLORIETA ANGEL CAIDO 4 Parque del Retiro. Entrada por C/ Alfonso XII, frente a la cuesta de Claudio Moyano",40.409899256936335,-3.6823305487957123,4.5,83.8,663.2245483398438,moderado,24,11.12
2025-12-16,40.37092,-3.69664,Vivero de la Casa de Campo,PASEO AZUL 2,40.41984158690351,-3.7286969080235455,6.08,100.0,588.832763671875,llano,24,7.93
